"time","potential_energy","kinetic_energy","temperature","pressure","volume"
0,100000.5482464429,439.3760210853171,309.8283056633142,1.0986069511086163,1002.6309678991944
100,100001.91618736368,475.0027654312071,315.27217457812526,0.8060634530182862,992.4582291724784
200,100002.74146717347,486.6528223781734,299.9924431600019,1.2275125094237263,995.3311445772947
300,100000.98661767517,454.23880266619915,308.9439507809436,1.0226208466607485,982.8309981119312
400,99995.02681145033,452.9534396644997,311.74572203705185,0.9442244428057559,1013.7102132911831
520,99995.8529164281,495.64931733125655,310.8228804631299,1.0494197397733425,991.268387662935
620,99999.75151829941,477.32744008034234,306.7995118111327,1.0734021818125818,997.1428273541939
720,99999.17094527619,479.6801122215734,305.32642918357453,1.1004748681269234,996.0128480785186
820,100004.10593089752,438.0281250803981,312.08780812223023,0.8307103668601618,993.2616896374368
920,100006.21685161474,436.20124416931776,308.86870484858724,0.9158124639114463,1001.6637214875533
1040,100003.57641695827,404.75564073351893,309.0665370362809,0.9371480882193226,982.4947980077578
1140,100001.78573971367,448.8078357664339,304.08666590981056,1.134015803583705,1013.4276717831932
1240,100002.34963192791,440.20985500856824,315.8427208574328,1.0202848548206338,985.3572466034951
1340,100003.20486189729,433.1954259602509,313.6980177660414,1.0562159510692426,986.3980621046937
1440,100007.36043709863,467.83743072830146,301.59649768163564,1.1265851448349378,998.5361318319523
1560,100009.00355575701,456.7201016839404,297.4464631839459,0.9888642644280712,1000.4150144686597
1660,100010.06568748133,450.30896643592956,301.7682859943267,1.0839929647647681,991.3808014286473
1760,100009.38920936242,402.6394191453753,319.526572805703,0.9498095673216875,979.8573343303779
1860,100007.63125801654,443.2945418455246,308.38167318414895,1.0039542276609401,974.5798910649029
1980,100008.51442034384,499.13287827265685,312.52800384256335,0.8507194502011919,1021.9898553454033
